user_id,card_number,expiry_date,cvv,same_billing_shipping,ip_risk_score,label,browser_Chrome,browser_Edge,browser_Firefox,browser_Safari,device_type_Desktop,device_type_Mobile,device_type_Tablet,time_of_day_Afternoon,time_of_day_Evening,time_of_day_Morning,time_of_day_Night
U0120,30287431527420,07/25,549,0,0.75,1,0,0,0,1,0,0,1,0,1,0,0
U0121,4296685161227536,06/25,637,0,0.25,0,1,0,0,0,0,1,0,0,0,0,1
U0122,4499045301742684144,07/31,332,1,0.16,0,0,1,0,0,1,0,0,0,0,0,1
U0123,30279568783397,09/26,785,1,0.75,1,0,1,0,0,0,0,1,1,0,0,0
U0124,2711088398225871,04/27,397,0,0.94,1,0,0,0,1,0,0,1,1,0,0,0
U0125,2670728679087404,01/32,039,0,0.06,0,1,0,0,0,0,0,1,1,0,0,0
U0126,5265180170462260,09/31,766,1,0.88,1,1,0,0,0,1,0,0,1,0,0,0
U0127,2702512868230047,03/33,868,1,0.13,0,0,1,0,0,1,0,0,0,1,0,0
U0128,6011375243106903,05/29,119,1,0.77,1,0,0,1,0,0,0,1,0,0,1,0
U0129,675990306739,06/34,028,0,0.09,0,0,1,0,0,0,0,1,0,1,0,0
U0130,4959953428364408925,07/32,705,1,0.79,1,1,0,0,0,0,0,1,0,1,0,0
U0131,4856624628733424,03/33,866,1,0.87,1,1,0,0,0,0,1,0,0,0,0,1
U0132,213163435175186,07/28,469,1,0.91,1,0,0,0,1,1,0,0,0,0,1,0
U0133,3513983735403314,06/33,936,1,0.76,1,0,0,0,1,1,0,0,0,1,0,0
U0134,4467854458772,12/26,753,1,0.96,1,0,1,0,0,0,1,0,1,0,0,0
U0135,376093204899646,11/27,536,1,0.99,1,0,1,0,0,0,1,0,0,1,0,0
U0136,3578547772522872,06/28,080,1,0.06,0,1,0,0,0,0,1,0,0,0,1,0
U0137,5206231203875093,07/33,700,0,0.86,1,0,1,0,0,1,0,0,0,0,1,0
U0138,180000848408623,02/27,823,1,0.9,1,1,0,0,0,1,0,0,0,1,0,0
U0139,4546156793349,09/26,016,0,0.84,1,0,0,1,0,0,1,0,1,0,0,0
U0140,6587002176591802,03/29,974,0,0.98,1,1,0,0,0,0,0,1,0,0,0,1
U0141,502048902501,10/28,261,0,0.91,1,0,1,0,0,0,1,0,0,1,0,0
U0142,4939685621850163155,01/32,0477,1,0.23,0,0,0,0,1,0,1,0,0,0,1,0
U0143,4866296194319,09/26,262,1,0.08,0,0,0,0,1,0,1,0,1,0,0,0
U0144,3555110475412128,08/32,888,1,0.23,0,0,0,1,0,1,0,0,0,0,1,0
U0145,6011015819956048,05/32,183,1,0.12,0,0,1,0,0,0,0,1,0,1,0,0
U0146,3562244472126463,05/30,154,0,0.78,1,0,0,0,1,0,1,0,0,1,0,0
U0147,4993712406596,10/31,7569,0,0.8,1,0,0,0,1,0,0,1,0,1,0,0
U0148,4593752654793562,01/30,519,1,0.87,1,0,0,1,0,0,1,0,0,0,0,1
U0149,4807374167249,06/29,266,1,0.84,1,0,0,1,0,1,0,0,0,1,0,0
U0150,2497968868058912,02/27,529,1,0.76,1,1,0,0,0,0,0,1,1,0,0,0
U0151,676265610144,01/29,889,0,0.28,0,1,0,0,0,1,0,0,0,0,0,1
U0152,3575679825071467,10/26,254,0,0.95,1,0,1,0,0,1,0,0,0,1,0,0
U0153,373875717751402,04/27,512,0,0.07,0,0,0,0,1,0,1,0,1,0,0,0
U0154,3582825867362261,01/32,937,1,0.9,1,1,0,0,0,1,0,0,0,0,0,1
U0155,3560334191825537,01/33,478,0,0.01,0,0,0,1,0,0,0,1,0,0,1,0
U0156,4969691557924997,09/26,251,0,0.15,0,0,0,0,1,1,0,0,1,0,0,0
U0157,4125286692968,06/32,782,0,0.16,0,0,1,0,0,1,0,0,0,0,1,0
U0158,213174225790506,07/33,368,1,0.08,0,0,0,0,1,1,0,0,0,0,1,0
U0159,180067677219033,04/30,438,1,0.84,1,0,1,0,0,0,0,1,0,1,0,0
U0160,4797881914858078366,01/27,340,1,0.91,1,1,0,0,0,0,0,1,1,0,0,0
U0161,30451713395969,02/28,233,0,0.82,1,0,0,0,1,0,0,1,0,0,0,1
U0162,676258498259,04/30,948,0,0.19,0,0,1,0,0,1,0,0,0,0,0,1
U0163,4260422325367293,11/29,667,1,0.89,1,0,0,1,0,0,0,1,1,0,0,0
U0164,5368457759017517,05/34,363,0,0.77,1,0,0,0,1,0,1,0,1,0,0,0
U0165,30454589297509,01/26,701,0,0.91,1,0,0,1,0,0,0,1,1,0,0,0
U0166,4706324241541526,03/26,436,0,0.28,0,0,0,1,0,1,0,0,0,1,0,0
U0167,4103712938700513,06/32,271,0,0.23,0,0,0,0,1,1,0,0,0,0,1,0
U0168,4111554262213,04/34,092,0,0.87,1,0,0,0,1,0,0,1,0,0,1,0
U0169,30532697311211,10/31,6523,1,0.93,1,0,1,0,0,0,0,1,1,0,0,0
U0170,4389994043898364030,09/33,137,1,0.02,0,0,0,0,1,1,0,0,1,0,0,0
U0171,4805526965827101,04/35,043,1,0.88,1,0,0,0,1,0,1,0,1,0,0,0
U0172,501868486660,09/26,889,1,0.24,0,0,0,0,1,0,1,0,0,1,0,0
U0173,4141832856914633,04/26,161,1,0.87,1,0,0,0,1,0,1,0,0,1,0,0
U0174,30042102027584,02/34,425,1,0.03,0,0,0,1,0,1,0,0,1,0,0,0
U0175,4105648149177851,03/26,925,0,0.78,1,0,0,0,1,0,0,1,0,1,0,0
U0176,4191380003075626,05/28,863,1,0.1,0,1,0,0,0,1,0,0,1,0,0,0
U0177,346541951802384,01/26,174,1,0.83,1,0,0,1,0,1,0,0,0,1,0,0
U0178,4187053494937597385,06/29,060,0,0.76,1,0,0,0,1,0,0,1,0,0,0,1
U0179,4050641383675,04/26,410,0,0.71,1,0,0,1,0,0,0,1,1,0,0,0
U0180,4571918261997,05/26,234,1,0.96,1,1,0,0,0,0,1,0,0,0,0,1
U0181,4655743132912127750,03/32,853,1,0.93,1,0,1,0,0,0,0,1,0,1,0,0
U0182,30474112490355,10/27,356,1,0.75,1,0,0,1,0,0,1,0,0,0,1,0
U0183,213144206788316,02/33,210,1,0.74,1,0,1,0,0,0,1,0,0,0,1,0
U0184,639032365194,04/35,101,1,0.09,0,1,0,0,0,0,1,0,0,0,1,0
U0185,4215107029662,09/33,662,0,0.22,0,0,0,0,1,0,0,1,0,1,0,0
U0186,342447209993476,04/32,701,1,0.03,0,0,0,1,0,1,0,0,0,0,0,1
U0187,4263838065787598565,11/29,059,1,0.25,0,0,0,0,1,0,1,0,0,0,0,1
U0188,4407859321336,10/29,039,1,0.13,0,0,1,0,0,0,1,0,0,0,1,0
U0189,6522395590599296,07/28,842,0,0.14,0,0,1,0,0,0,1,0,0,0,1,0
U0190,30010393087054,09/28,525,1,0.92,1,0,0,0,1,0,0,1,0,1,0,0
U0191,501829218517,08/31,691,1,0.81,1,0,0,0,1,0,1,0,1,0,0,0
U0192,375226752895399,04/28,442,0,0.88,1,0,1,0,0,0,0,1,1,0,0,0
U0193,4969029593917255,08/26,552,1,0.98,1,0,1,0,0,0,1,0,0,0,1,0
U0194,4570433154100676,06/32,676,0,0.95,1,0,0,0,1,0,0,1,0,0,0,1
U0195,371793271040546,01/27,526,0,0.19,0,0,1,0,0,0,1,0,0,1,0,0
U0196,4815997062962018,12/30,368,1,0.24,0,1,0,0,0,0,1,0,0,0,0,1
U0197,3544310698720505,07/32,497,1,0.86,1,0,0,0,1,0,0,1,1,0,0,0
U0198,4032417146775,10/29,862,1,0.21,0,1,0,0,0,1,0,0,0,1,0,0
U0199,375270477434902,11/27,115,1,0.75,1,1,0,0,0,0,0,1,0,0,0,1
U0200,180093806868797,04/29,416,1,0.29,0,0,0,0,1,1,0,0,1,0,0,0
U0201,3589899217223328,01/26,163,0,0.78,1,0,1,0,0,0,1,0,0,0,1,0
U0202,4945116868548706,04/35,616,1,0.14,0,0,1,0,0,0,1,0,1,0,0,0
U0203,4999119148564670,01/35,702,1,0.03,0,0,0,0,1,1,0,0,1,0,0,0
U0204,4299606530745054443,08/33,132,0,0.1,0,0,0,1,0,0,1,0,0,1,0,0
U0205,4546913736785082143,12/33,289,1,0.1,0,1,0,0,0,0,1,0,0,0,0,1
U0206,503833030706,06/31,345,1,0.02,0,1,0,0,0,0,0,1,1,0,0,0
U0207,36103579727983,04/31,2414,0,0.25,0,1,0,0,0,0,0,1,0,1,0,0
U0208,630402933331,11/29,680,0,0.15,0,0,1,0,0,0,1,0,0,0,0,1
U0209,4722903494466570,08/29,748,1,0.07,0,0,0,0,1,0,0,1,0,1,0,0
U0210,3591085899441711,01/31,544,0,0.89,1,0,0,0,1,0,1,0,1,0,0,0
U0211,4328309652074461,03/32,099,0,0.13,0,0,0,0,1,0,1,0,1,0,0,0
U0212,4387584282419,04/33,482,0,0.06,0,1,0,0,0,0,0,1,1,0,0,0
U0213,4135346554947173,03/26,999,0,0.11,0,0,1,0,0,0,1,0,1,0,0,0
U0214,2538168460223565,12/34,252,1,0.2,0,0,0,0,1,0,0,1,0,0,1,0
U0215,2552500743292713,07/27,666,1,0.88,1,1,0,0,0,0,1,0,0,0,1,0
U0216,6560083505830039,02/29,542,1,0.89,1,0,0,1,0,0,0,1,1,0,0,0
U0217,2298942104478987,01/31,257,0,0.09,0,0,1,0,0,0,1,0,1,0,0,0
U0218,342603323098218,07/31,064,0,0.81,1,0,1,0,0,0,0,1,0,0,0,1
U0219,213190100167610,08/34,723,1,0.88,1,0,0,0,1,0,1,0,0,1,0,0
U0220,3546184992618915,02/30,173,1,0.89,1,0,1,0,0,0,0,1,0,1,0,0
U0221,3548356420873753,04/29,011,1,0.09,0,0,1,0,0,0,1,0,0,0,0,1
U0222,3521811437447018,04/28,455,0,0.26,0,1,0,0,0,0,1,0,0,1,0,0
U0223,6011100225579418,08/31,2166,0,0.24,0,0,0,0,1,0,1,0,0,0,0,1
U0224,30467621202162,07/33,729,1,0.91,1,0,0,0,1,0,1,0,0,1,0,0
U0225,6590277167014502,03/34,993,0,0.87,1,0,1,0,0,0,1,0,1,0,0,0
U0226,4889163756289009,12/27,772,1,0.77,1,0,0,1,0,1,0,0,0,0,0,1
U0227,2553540838663179,11/32,717,1,0.16,0,1,0,0,0,0,0,1,1,0,0,0
U0228,30517016608801,11/26,948,1,0.23,0,0,0,1,0,0,0,1,1,0,0,0
U0229,213175503758990,05/33,571,1,0.86,1,0,0,0,1,1,0,0,0,1,0,0
U0230,2240554885102725,04/32,493,1,0.26,0,1,0,0,0,0,1,0,0,0,1,0
U0231,4637351609172,01/33,982,1,0.26,0,1,0,0,0,0,1,0,1,0,0,0
U0232,30080869782926,06/27,699,0,0.76,1,0,0,1,0,0,0,1,0,0,0,1
U0233,376934654722699,01/34,858,0,0.88,1,0,1,0,0,1,0,0,1,0,0,0
U0234,4339452288515874,03/35,684,1,0.16,0,0,1,0,0,0,1,0,0,0,1,0
U0235,6011810620034245,07/29,043,1,0.87,1,1,0,0,0,1,0,0,0,0,0,1
U0236,213157198386386,03/30,066,0,0.3,0,0,1,0,0,0,0,1,0,1,0,0
U0237,6580043973598936,08/28,721,0,0.04,0,0,0,1,0,1,0,0,0,0,0,1
U0238,4816064842294052,03/33,202,1,0.74,1,0,0,1,0,0,0,1,0,0,0,1
U0239,349479851583282,06/26,268,1,0.84,1,1,0,0,0,0,1,0,0,0,1,0
U0240,180015335554390,04/34,801,1,0.14,0,0,0,0,1,0,1,0,1,0,0,0
U0241,4739930561648401,02/34,8877,0,0.22,0,0,0,0,1,0,0,1,0,0,1,0
U0242,573581128804,05/26,361,0,0.24,0,0,0,0,1,1,0,0,0,0,0,1
U0243,4120750110241,10/34,934,0,0.85,1,0,0,1,0,0,1,0,0,0,1,0
U0244,6576650618091907,07/26,8144,0,0.17,0,0,0,0,1,0,1,0,1,0,0,0
U0245,3547660728326849,10/27,508,0,0.03,0,0,0,0,1,1,0,0,1,0,0,0
U0246,213110099688145,11/28,536,0,0.13,0,1,0,0,0,0,1,0,0,1,0,0
U0247,4223943129087817,03/30,141,0,0.26,0,0,0,1,0,1,0,0,0,0,1,0
U0248,4552314913571,12/32,9492,0,0.9,1,0,0,1,0,1,0,0,0,0,1,0
U0249,3556205336452575,03/33,547,0,0.72,1,0,0,1,0,0,0,1,0,1,0,0
U0250,213129142834118,08/25,099,1,0.9,1,1,0,0,0,1,0,0,0,1,0,0
U0251,6011084887256392,04/30,788,1,0.72,1,0,1,0,0,0,0,1,0,0,0,1
U0252,2295803928272290,12/34,275,0,0.0,0,0,0,1,0,1,0,0,0,0,0,1
U0253,567314530385,06/31,770,0,0.14,0,0,1,0,0,0,1,0,1,0,0,0
U0254,676351844987,12/34,665,0,0.73,1,0,0,1,0,0,1,0,0,1,0,0
U0255,3584638655779085,08/27,231,1,0.93,1,0,1,0,0,0,0,1,0,1,0,0
U0256,180032225913651,03/27,773,0,0.16,0,1,0,0,0,0,0,1,0,1,0,0
U0257,3560302992280921,04/26,428,1,0.11,0,0,1,0,0,0,0,1,0,1,0,0
U0258,6011413797723698,09/27,298,1,0.88,1,0,0,0,1,1,0,0,1,0,0,0
U0259,4579913662103886299,12/26,799,0,0.74,1,1,0,0,0,0,0,1,0,0,0,1
U0260,639088117291,06/34,686,1,0.29,0,0,0,1,0,1,0,0,0,1,0,0
U0261,348637659916241,06/33,149,1,0.89,1,0,1,0,0,0,0,1,0,0,1,0
U0262,180043009818065,10/28,565,0,0.25,0,0,0,1,0,1,0,0,0,1,0,0
U0263,5569448695946361,09/34,725,1,0.09,0,1,0,0,0,1,0,0,0,0,0,1
U0264,180044956213722,01/27,865,1,0.73,1,0,0,0,1,0,0,1,1,0,0,0
U0265,213126012796112,10/29,519,0,0.3,0,0,0,1,0,1,0,0,0,0,0,1
U0266,060466984907,04/28,770,1,0.81,1,0,1,0,0,0,1,0,1,0,0,0
U0267,4309883920531,04/25,146,0,0.88,1,1,0,0,0,0,1,0,0,1,0,0
U0268,376938011848956,03/31,393,0,0.28,0,0,0,0,1,0,0,1,0,0,1,0
U0269,36904268181840,01/31,848,1,0.83,1,0,0,0,1,1,0,0,0,1,0,0
U0270,3576973577907146,06/26,335,1,0.73,1,1,0,0,0,0,0,1,0,1,0,0
U0271,6588043416518279,08/30,3942,0,0.86,1,0,0,0,1,0,0,1,1,0,0,0
U0272,3573334333395212,05/27,790,1,0.91,1,0,1,0,0,1,0,0,0,1,0,0
U0273,213175957947289,01/30,392,0,0.28,0,1,0,0,0,0,1,0,1,0,0,0
U0274,676167808564,04/28,187,1,0.2,0,0,1,0,0,1,0,0,1,0,0,0
U0275,340369155942848,05/29,795,0,0.91,1,0,1,0,0,0,1,0,0,0,1,0
U0276,347636556472929,02/35,314,1,0.75,1,0,1,0,0,0,0,1,0,0,1,0
U0277,4632270267285,05/34,574,0,0.93,1,1,0,0,0,0,1,0,0,0,0,1
U0278,4612034717545588458,08/25,159,1,0.16,0,0,0,1,0,0,0,1,1,0,0,0
U0279,4455877169476,10/27,569,1,0.14,0,0,0,1,0,1,0,0,0,0,0,1
U0280,3511253554496472,06/31,987,0,0.11,0,0,0,1,0,1,0,0,1,0,0,0
U0281,6011202341326110,05/26,800,0,0.92,1,1,0,0,0,1,0,0,1,0,0,0
U0282,6011149216433473,06/27,820,0,0.71,1,0,0,1,0,0,1,0,0,1,0,0
U0283,676355778488,11/32,829,0,0.98,1,1,0,0,0,0,0,1,0,0,0,1
U0284,3596884578317456,04/32,240,0,0.8,1,0,0,0,1,0,0,1,0,0,1,0
U0285,676125478070,06/33,064,1,0.25,0,0,0,1,0,1,0,0,1,0,0,0
U0286,3508536866326634,10/29,638,0,0.77,1,1,0,0,0,0,1,0,1,0,0,0
U0287,3548463122417978,12/29,973,1,0.96,1,0,0,1,0,0,1,0,1,0,0,0
U0288,342080214427030,11/26,073,1,0.7,1,0,1,0,0,0,1,0,0,0,1,0
U0289,374757051204611,07/34,234,0,0.84,1,0,0,0,1,1,0,0,0,1,0,0
U0290,6011136730371834,05/33,452,0,0.0,0,0,0,0,1,1,0,0,0,1,0,0
U0291,4881474350313659,07/25,491,1,0.19,0,1,0,0,0,0,1,0,1,0,0,0
U0292,6011009792513272,11/26,950,1,0.95,1,0,0,1,0,1,0,0,0,1,0,0
U0293,582812735857,10/32,306,0,0.13,0,1,0,0,0,1,0,0,0,0,1,0
U0294,344077848739283,03/31,7498,0,0.01,0,0,1,0,0,0,0,1,0,0,0,1
